Standardized Area Name,Total Population (in thousands),Population - Male (in thousands),Population - female (in thousands)
ABIRAMAPURAM,270098.0,135477.0,134621.0
ADAMBAKKAM,52790.0,27230.0,25560.0
ADYAR,226655.0,113089.0,113566.0
ALANDUR,26525.0,12952.0,13573.0
ALWARPET,221647.0,109550.0,112097.0
AMBATTUR,337835.0,169901.0,167934.0
AMINJIKARAI,163619.0,81498.0,82121.0
ANAKAPUTHUR,59322.0,29937.0,29385.0
ANNA NAGAR,632580.0,316156.0,316424.0
ARUMBAKAM,21231.0,10447.0,10784.0
ARUMBAKKAM,323240.0,161724.0,161516.0
ASHOK NAGAR,516195.0,260542.0,255653.0
AVADI,368558.0,187188.0,181370.0
AYANAMBAKKAM,35036.0,17364.0,17672.0
AYANAVARAM,161695.0,80586.0,81109.0
AYNAVARAM,29549.0,14812.0,14737.0
BALAVINAYAGAR NAGAR,60890.0,30089.0,30801.0
BESANT NAGAR,655665.0,331553.0,324112.0
CATHEDRAL ROAD,52790.0,26317.0,26473.0
CHETPET,188980.0,94161.0,94819.0
CHINDATRIPET,192122.0,96621.0,95501.0
CHINTADRIPET,289981.0,145730.0,144251.0
CHOOLAIMEDU,479962.0,240631.0,239331.0
DOCTOR RADHA KRISHNAN SALAI,889639.0,449853.0,439786.0
EAST COAST ROAD,34476.0,17063.0,17413.0
EGMORE,316063.0,157535.0,158528.0
EKKATUTHANGAL,104763.0,52371.0,52392.0
FORESHORE ESTATE,38134.0,19460.0,18674.0
GANDHI NAGAR,159989.0,81566.0,78423.0
GEORGE TOWN,114429.0,57415.0,57014.0
GOPALAPURAM,179283.0,89164.0,90119.0
GUINDY,87645.0,43694.0,43951.0
HADDOWS ROAD,18480.0,9239.0,9241.0
INDIRA NAGAR,26525.0,12952.0,13573.0
INJAMBAKKAM,54598.0,29874.0,24724.0
IYYAPPANTHANGAL,93632.0,47015.0,46617.0
JAFFERKHANPET,122888.0,62074.0,60814.0
K K NAGAR,293283.0,148334.0,144949.0
KATTUPAKKAM,35801.0,18057.0,17744.0
KEELKATTALAI,26525.0,12952.0,13573.0
KILPAUK,189471.0,94796.0,94675.0
KODAMBAKKAM,606640.0,305602.0,301038.0
KODUNGAIYUR,122626.0,61438.0,61188.0
KOLATHUR,282317.0,141713.0,140604.0
KONNUR,33995.0,17070.0,16925.0
KORATTUR,186112.0,92801.0,93311.0
KORUKKUPET,9377.0,4739.0,4638.0
KOTTURPURAM,81729.0,41982.0,39747.0
KOYAMBEDU,202164.0,101354.0,100810.0
MADHAVARAM,83066.0,41005.0,42061.0
MADIPAKKAM,26525.0,12952.0,13573.0
MADURAVAYOL,20124.0,9920.0,10204.0
MADURAVOYAL,267167.0,132918.0,134249.0
MAMBALAM,319563.0,161741.0,157822.0
MANALI,73078.0,39113.0,33965.0
MANDAIVELLI,48640.0,24232.0,24408.0
MANDAVELI,132513.0,66272.0,66241.0
MANGADU,161388.0,80524.0,80864.0
MARINA BEACH,44040.0,21648.0,22392.0
MEDAVAKKAM,81123.0,42826.0,38297.0
MOGAPPAIR,258114.0,130630.0,127484.0
MOUNT ROAD,483060.0,243770.0,239290.0
MUDICHUR,53949.0,28166.0,25783.0
MUGALIVAKKAM,26525.0,12952.0,13573.0
MUGAPPAIR,97148.0,48151.0,48997.0
MYLAPORE,513817.0,256676.0,257141.0
NANDANAM,137120.0,70732.0,66388.0
NAVALUR,9377.0,4739.0,4638.0
NERKUNDRAM,237853.0,119088.0,118765.0
NESAPAKKAM,89204.0,46443.0,42761.0
NOLAMBUR,63640.0,31279.0,32361.0
NUNGAMBAKKAM,423104.0,211401.0,211703.0
PADUPAKKAM,106423.0,53326.0,53097.0
PALLAVARAM,93705.0,46570.0,47135.0
PARK TOWN,264175.0,132433.0,131742.0
PATTABIRAM,102653.0,51432.0,51221.0
PERAMBUR,292091.0,147234.0,144857.0
PERIYAMET,52862.0,26084.0,26778.0
PERUNGUDI,127443.0,63871.0,63572.0
POONAMALLEE,351109.0,177567.0,173542.0
POONGAVANAPURAM,30577.0,15172.0,15405.0
PORUR,278913.0,139619.0,139294.0
PUDUPET,133279.0,66828.0,66451.0
PURASAIWAKKAM,180554.0,90933.0,89621.0
R A PURAM,151160.0,78408.0,72752.0
RAJA ANNAMALAI PURAM,116978.0,58613.0,58365.0
REDHILLS,64655.0,31727.0,32928.0
ROYAPETTAH,426695.0,212852.0,213843.0
ROYAPURAM,51652.0,25949.0,25703.0
SAIDAPET,311364.0,160071.0,151293.0
SALIGRAMAM,362909.0,183974.0,178935.0
SANTHOME,91245.0,45775.0,45470.0
SHASTRI NAGAR,55784.0,28182.0,27602.0
SHENOY NAGAR,54527.0,27397.0,27130.0
SHOLINGANALLUR,20860.0,10416.0,10444.0
SOWRASHTRA NAGAR,14912.0,7444.0,7468.0
ST.THOMAS MOUNT,26525.0,12952.0,13573.0
T NAGAR,155213.0,81635.0,73578.0
TAMBARAM,125797.0,62810.0,62987.0
TEYNAMPET,224210.0,113911.0,110299.0
THARAMANI,26525.0,12952.0,13573.0
THILLAIGANGA NAGAR,9377.0,4739.0,4638.0
THIRUMULLAIVOYAL,55933.0,27764.0,28169.0
THIRUMULLAIVOYIL,30577.0,15172.0,15405.0
THIRUVANMIYUR,17539.0,8639.0,8900.0
THIRUVERKADU,74962.0,37370.0,37592.0
THIYAGARAYA NAGAR,107419.0,53587.0,53832.0
THORAIPAKKAM,84201.0,42247.0,41954.0
THOUSAND LIGHTS,244078.0,122164.0,121914.0
TIRUVOTTIYUR,95496.0,47979.0,47517.0
TONDIARPET,67703.0,33971.0,33732.0
TRIPLICANE,508317.0,253061.0,255256.0
VADAPALANI,440791.0,221261.0,219530.0
VALASARAVAKKAM,244757.0,123714.0,121043.0
VANAGARAM,200612.0,101146.0,99466.0
VARADARAJAPURAM,34310.0,17078.0,17232.0
VELACHERY,229269.0,118549.0,110720.0
VILLIVAKKAM,184898.0,93402.0,91496.0
VIRUGAMBAKKAM,332720.0,168611.0,164109.0
VYASARPADI,113497.0,56968.0,56529.0
WASHERMANPET,57982.0,28744.0,29238.0
WOODS ROAD,100128.0,50171.0,49957.0
